"Sample Count","Linear Search Min","Linear Search Max","Linear Search Avg","Linear Search Single","Line Fit Min","Line Fit Max","Line Fit Avg","Line Fit Single","Line Fit Blind Min","Line Fit Blind Max","Line Fit Blind Avg","Line Fit Blind Single","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Hybrid Min","Hybrid Max","Hybrid Avg","Hybrid Single","Sequence",
"189","1","187","91.390030","8","0","6","3.500000","5","4","12","5.790002","4","4","8","7.670001","7","2","12","5.320000","6","370",
"190","1","190","97.269997","124","0","7","3.529999","4","3","9","5.600000","5","6","8","7.690000","7","0","11","5.230001","5","376",
"191","1","191","103.440002","24","1","7","3.599999","4","3","8","5.350000","4","5","8","7.590001","8","0","11","5.289999","6","384",
"192","2","192","104.150024","72","0","7","3.309999","3","2","9","5.510001","5","3","8","7.610001","7","0","11","5.349998","4","387",
"193","3","193","96.730026","121","1","7","3.510000","3","2","9","5.220000","4","4","8","7.529999","7","0","12","5.370001","5","388",
"194","1","194","93.740021","72","1","7","3.429999","2","2","8","5.330002","5","5","8","7.720000","8","0","11","5.269999","6","393",
"195","4","195","93.690002","181","1","6","3.540001","3","3","9","5.360000","5","1","8","7.550001","7","0","11","5.100001","6","396",
"196","1","196","96.830002","11","0","7","3.400000","2","2","9","5.560002","7","4","8","7.629999","7","0","12","5.510000","6","399",
"197","3","197","103.129982","7","1","7","3.310000","3","2","9","5.540000","6","4","8","7.649999","8","0","11","5.160000","5","401",
"198","1","198","101.040009","18","1","5","3.500000","3","3","9","5.760003","7","2","8","7.580000","7","0","11","5.049998","6","402",
"199","9","199","101.959976","193","1","6","3.420000","4","2","8","5.310000","6","5","8","7.689999","8","0","11","5.280000","5","402",
"200","2","200","100.800003","50","1","7","3.510000","3","3","10","5.380001","6","3","8","7.549999","8","1","11","5.400002","5","404",
"201","2","198","95.599983","12","0","8","3.690000","3","3","8","5.560001","5","5","8","7.500001","8","0","11","5.360000","9","407",
"202","3","202","105.730003","167","0","7","3.550000","4","2","9","5.450002","6","4","8","7.579998","7","0","13","5.550000","2","408",
"203","3","203","101.209976","114","1","7","3.270000","2","2","10","5.700000","5","6","8","7.759998","8","0","13","5.230001","5","410",
"204","1","203","99.069984","170","1","6","3.590000","3","4","10","5.639999","4","5","8","7.750002","7","0","11","5.110000","4","410",
"205","1","205","103.970001","197","0","5","3.400000","4","2","11","5.530001","5","4","8","7.670000","8","1","10","5.450002","3","412",
"206","1","206","100.450027","1","0","7","3.450000","3","2","8","5.400000","4","5","8","7.750000","7","1","9","5.050000","7","412",
"207","1","207","107.959976","99","0","6","3.329999","5","3","9","5.530003","6","3","8","7.589998","8","0","11","5.229999","6","412",
"208","1","208","106.050026","18","0","7","3.290000","2","2","8","5.340001","5","4","8","7.719999","8","0","11","5.360000","5","414",
