"Sample Count","Linear Search Min","Linear Search Max","Linear Search Avg","Linear Search Single","Line Fit Min","Line Fit Max","Line Fit Avg","Line Fit Single","Line Fit Blind Min","Line Fit Blind Max","Line Fit Blind Avg","Line Fit Blind Single","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Hybrid Min","Hybrid Max","Hybrid Avg","Hybrid Single","Sequence",
"110","2","110","57.980007","19","1","2","1.920000","2","3","4","3.920000","4","4","7","6.789999","7","1","3","2.730000","3","218",
"111","3","108","51.520008","27","0","2","1.950000","1","3","4","3.920000","4","5","7","6.850000","7","1","3","2.760000","3","220",
"112","4","111","54.739998","6","1","2","1.930000","2","3","4","3.920000","4","3","7","6.739999","7","1","3","2.810000","3","222",
"113","2","113","57.020008","63","1","2","1.980000","2","3","4","3.920000","4","3","7","6.869999","7","1","3","2.800001","3","224",
"114","2","112","53.769993","32","1","2","1.960000","2","3","4","3.880000","4","6","7","6.880000","7","0","3","2.840000","3","226",
"115","8","115","60.759991","99","1","2","1.900000","2","3","4","3.950000","3","3","7","6.760002","7","1","3","2.840000","3","228",
"116","3","115","60.860008","36","1","2","1.960000","2","3","4","3.889999","4","4","7","6.800000","7","1","3","2.750000","3","230",
"117","5","117","61.629997","117","1","2","1.910000","2","3","4","3.920000","4","4","7","6.879999","7","1","3","2.859999","3","232",
"118","2","117","63.550003","84","1","2","1.940000","2","2","4","3.970000","4","4","7","6.950000","7","1","3","2.780001","3","234",
"119","2","118","55.060013","35","1","2","1.910000","2","3","4","3.889999","4","4","7","6.890000","7","1","3","2.800000","3","236",
"120","3","118","61.259995","22","1","2","1.910000","2","3","4","3.940000","4","5","7","6.900001","7","1","3","2.800000","3","238",
"121","2","119","59.719978","21","1","2","1.920000","2","3","4","3.900000","4","3","7","6.810000","7","1","3","2.860000","3","240",
"122","1","122","62.909977","49","1","2","1.880000","2","2","4","3.890000","4","4","7","6.910000","7","1","3","2.840000","3","242",
"123","2","123","65.460007","66","1","2","1.930000","2","3","4","3.970000","4","3","7","6.920000","7","1","3","2.780000","3","244",
"124","3","124","62.819984","60","1","2","1.840000","2","3","4","3.920000","4","5","7","6.959999","7","1","3","2.770001","3","246",
"125","3","125","67.020004","114","1","2","1.890000","2","2","4","3.870000","4","2","7","6.869998","7","1","3","2.850000","1","248",
"126","2","126","58.970005","4","0","2","1.880000","2","2","4","3.930000","4","5","7","6.970000","7","1","3","2.900001","3","250",
"127","7","125","67.079994","61","1","2","1.910000","2","3","4","3.990000","4","6","7","6.989999","7","1","3","2.760000","3","252",
"128","4","127","68.439972","110","1","2","1.930000","2","3","4","3.950000","4","1","7","6.840000","7","0","3","2.740000","3","254",
"129","4","127","70.930008","66","1","2","1.910000","2","3","4","3.890000","4","5","8","6.999999","7","0","3","2.820000","3","256",
"130","4","130","68.649979","55","0","2","1.890000","1","3","4","3.900001","4","5","8","7.009999","7","1","3","2.820000","3","258",
"131","2","130","71.150002","74","1","2","1.910000","2","3","4","3.920000","4","3","8","6.930000","7","1","3","2.839999","1","260",
"132","2","131","65.739990","69","1","2","1.910000","2","3","4","3.890000","4","4","8","6.999999","7","0","3","2.800000","3","262",
"133","2","129","71.679985","44","1","2","1.930000","2","2","4","3.870000","4","4","8","7.020000","7","1","3","2.760000","3","264",
"134","4","134","65.320007","97","1","2","1.910000","2","3","4","3.920000","3","6","8","7.120000","7","1","3","2.840000","3","266",
"135","5","133","63.650017","109","1","2","1.940000","2","3","4","3.900000","4","5","8","7.040000","8","1","3","2.879999","1","268",
"136","2","134","63.130005","99","1","2","1.890000","2","3","4","3.910000","4","6","8","7.089998","8","1","3","2.910000","3","270",
"137","2","137","73.579994","53","1","2","1.960000","2","3","4","3.920000","4","4","8","7.039999","7","1","3","2.830000","3","272",
"138","2","138","68.010017","17","1","2","1.960000","2","3","4","3.880000","3","5","8","7.130001","7","1","3","2.840001","3","274",
"139","3","139","73.430008","10","1","2","1.910000","2","3","4","3.920000","4","3","8","7.080002","7","1","3","2.840000","3","276",
"140","3","140","70.829971","140","1","2","1.920000","2","2","4","3.850001","4","4","8","7.090001","8","1","3","2.880000","3","278",
"141","1","140","68.660011","109","1","2","1.910000","2","3","4","3.910000","4","5","8","7.069998","7","1","3","2.810000","3","280",
"142","2","142","76.689995","15","1","2","1.940000","1","3","4","3.930000","4","5","8","7.170000","7","1","3","2.820001","3","282",
"143","3","142","72.430016","97","1","2","1.910000","2","3","4","3.910000","4","2","8","7.140000","8","1","3","2.870000","3","284",
"144","2","144","80.910011","93","1","2","1.920000","2","3","4","3.910000","4","3","8","7.190000","7","1","3","2.760000","1","286",
"145","2","140","69.470009","9","1","2","1.900000","2","2","4","3.920000","4","4","8","7.229999","7","1","3","2.850000","3","288",
"146","5","146","76.219994","110","1","2","1.900000","2","3","4","3.910000","3","5","8","7.180000","7","1","3","2.890000","3","290",
"147","4","146","77.680008","102","1","2","1.940000","2","3","4","3.950000","4","5","8","7.239999","8","0","3","2.880000","3","292",
"148","2","148","71.229988","44","1","2","1.920000","2","3","4","3.870000","3","4","8","7.200000","7","1","3","2.829999","3","294",
"149","2","149","73.890007","84","1","2","1.910000","2","3","4","3.880000","4","3","8","7.180001","8","0","3","2.850000","3","296",
"150","3","150","75.079971","115","1","2","1.930000","2","3","4","3.920000","4","3","8","7.270000","8","1","3","2.760000","3","298",
"151","4","148","74.430000","146","1","2","1.930000","2","3","4","3.900000","4","5","8","7.250000","5","1","3","2.840001","3","300",
"152","4","149","74.160034","57","1","2","1.940000","2","3","4","3.890000","4","6","8","7.339999","8","1","3","2.930000","3","302",
"153","3","153","80.579987","23","0","2","1.940000","2","3","4","3.900000","4","2","8","7.219999","7","1","3","2.850000","3","304",
"154","2","152","75.940002","16","1","2","1.920000","2","3","4","3.910000","4","3","8","7.239998","8","0","3","2.880000","3","306",
"155","4","153","77.840012","79","1","2","1.950000","1","3","4","3.889999","3","4","8","7.329999","7","0","3","2.870000","3","308",
"156","4","155","80.319992","52","1","2","1.950000","2","3","4","3.910000","4","6","8","7.329999","8","1","3","2.890000","3","310",
"157","5","155","78.650017","9","1","2","1.940000","2","3","4","3.940000","4","5","8","7.389998","8","1","3","2.810000","3","312",
"158","9","158","87.020012","108","1","2","1.930000","2","2","4","3.850000","4","5","8","7.379999","7","1","3","2.890000","3","314",
"159","1","159","87.790009","125","1","2","1.930000","2","3","4","3.940000","4","1","8","7.310000","7","1","3","2.930000","3","316",
"160","2","160","76.300011","16","0","2","1.860000","2","3","4","3.930001","4","4","8","7.229999","7","1","3","2.660000","3","318",
"161","2","159","74.530006","129","1","2","1.910000","1","3","4","3.880000","4","5","8","7.389999","7","1","3","2.800001","3","320",
"162","5","161","83.649979","77","1","2","1.940000","2","3","4","3.890000","4","6","8","7.460001","7","1","3","2.770000","3","322",
"163","3","163","79.389984","98","1","2","1.920000","2","3","4","3.930000","4","5","8","7.440000","8","1","3","2.770000","3","324",
"164","4","161","77.040009","69","1","2","1.860001","2","3","4","3.880000","3","6","8","7.460000","8","1","3","2.720000","3","326",
"165","3","162","85.229988","81","1","2","1.880000","2","3","4","3.860000","4","5","8","7.350000","7","1","3","2.790000","3","328",
"166","2","165","84.140030","69","1","2","1.920000","2","3","4","3.970000","4","2","8","7.369998","8","1","3","2.860000","3","330",
"167","5","166","81.509995","21","1","2","1.900000","1","3","4","3.930001","4","4","8","7.240001","5","1","3","2.720001","3","332",
"168","2","168","85.379974","39","1","2","1.830000","2","3","4","3.900000","4","6","8","7.510000","7","1","3","2.700000","3","334",
"169","1","169","75.310013","36","1","2","1.900000","2","3","4","3.889999","4","6","8","7.550002","7","1","3","2.760001","1","336",
"170","2","169","83.020004","148","1","2","1.920000","2","3","4","3.899999","4","6","8","7.470000","8","1","3","2.850000","3","338",
"171","3","170","87.240013","99","1","2","1.910000","2","3","4","3.940000","4","4","8","7.359999","8","1","3","2.860000","3","340",
"172","3","172","85.129974","171","1","2","1.930000","2","3","4","3.900000","3","3","8","7.360000","8","1","3","2.760000","3","342",
"173","5","171","85.920029","61","1","2","1.910000","2","3","4","3.920000","4","3","8","7.450000","7","1","3","2.809999","1","344",
"174","2","173","95.580009","26","1","2","1.850000","2","3","4","3.920000","4","4","8","7.510000","8","1","3","2.840000","3","346",
"175","2","173","89.930023","2","1","2","1.920000","2","3","4","3.910000","4","3","8","7.450000","7","1","3","2.769999","3","348",
"176","2","175","90.190002","6","1","2","1.910000","2","3","4","3.900000","4","5","8","7.620001","8","1","3","2.820000","3","350",
"177","2","174","84.060013","143","1","2","1.900000","2","3","4","3.920000","4","2","8","7.389999","6","1","3","2.830000","3","352",
"178","3","172","93.409996","63","1","2","1.910000","2","3","4","3.900001","4","6","8","7.490001","8","1","3","2.820000","3","354",
"179","2","179","98.630013","39","1","2","1.880000","2","3","4","3.900000","4","4","8","7.580000","8","1","3","2.840000","3","356",
"180","8","179","97.620026","125","1","2","1.940000","2","2","4","3.890000","4","7","8","7.560001","8","1","3","2.760000","3","358",
"181","2","181","88.889992","159","1","2","1.860000","2","2","4","3.890000","4","2","8","7.480001","8","1","3","2.800000","3","360",
"182","3","181","92.989990","47","1","2","1.910000","2","3","4","3.850000","3","4","8","7.600000","7","1","3","2.880000","3","362",
"183","6","183","85.270004","30","1","2","1.930000","2","3","4","3.900000","4","6","8","7.529998","8","1","3","2.820000","3","364",
"184","8","184","101.810020","131","1","2","1.870000","2","3","4","3.849999","4","4","8","7.499999","8","1","3","2.729999","3","366",
"185","2","185","97.350014","20","1","2","1.900000","1","3","4","3.820000","4","4","8","7.580002","8","0","3","2.730000","3","368",
"186","1","186","91.470024","44","1","2","1.940000","2","3","4","3.930001","4","1","8","7.520001","7","1","3","2.780000","3","370",
"187","2","187","86.110008","152","1","2","1.850000","2","2","4","3.880000","4","4","8","7.460000","6","1","3","2.729999","3","372",
"188","2","187","92.620003","25","1","2","1.940000","2","3","4","3.890000","4","6","8","7.660001","8","1","3","2.710000","3","374",
"189","2","186","101.710022","98","1","2","1.880000","1","3","4","3.910000","4","5","8","7.590000","8","1","3","2.690000","3","376",
"190","6","189","94.199959","9","1","2","1.880000","2","3","4","3.930000","4","5","8","7.599999","8","1","3","2.770000","3","378",
"191","3","189","80.980003","185","0","2","1.900000","2","3","4","3.960000","4","6","8","7.650001","7","1","3","2.780001","3","380",
"192","2","190","87.240005","10","1","2","1.890000","2","3","4","3.880000","4","6","8","7.590000","8","1","3","2.820000","3","382",
"193","2","192","90.910042","156","1","2","1.900000","2","3","4","3.910001","4","5","8","7.610002","5","1","3","2.780001","3","384",
"194","3","192","102.240013","69","1","2","1.920000","2","3","4","3.860000","4","2","8","7.580000","7","1","3","2.820000","3","386",
"195","2","195","99.679993","110","0","2","1.880000","1","3","4","3.920000","4","5","8","7.610000","8","1","3","2.670000","3","388",
"196","3","196","104.099983","3","1","2","1.950000","2","3","4","3.930000","4","5","8","7.630000","7","0","3","2.829999","3","390",
"197","3","189","96.000015","144","1","2","1.870000","2","3","4","3.910000","4","4","8","7.619999","8","1","3","2.720000","1","392",
"198","5","198","93.840004","21","1","2","1.910000","2","3","4","3.840000","4","4","8","7.630002","7","1","3","2.759999","3","394",
"199","2","198","98.919998","104","1","2","1.950000","2","2","4","3.860001","4","1","8","7.620001","8","1","3","2.759999","3","396",
"200","2","200","96.570000","67","1","2","1.900000","2","3","4","3.890000","4","2","8","7.570001","8","0","3","2.780000","3","398",
"201","3","201","96.900017","92","1","2","1.900000","2","2","4","3.859999","4","5","8","7.650000","8","1","3","2.800000","3","400",
"202","2","201","108.069992","58","1","2","1.930000","2","3","4","3.930000","4","5","8","7.720001","8","1","3","2.760000","3","402",
"203","4","203","109.500000","67","1","2","1.910000","2","3","4","3.930000","4","3","8","7.680001","8","1","3","2.740000","3","404",
"204","3","201","102.899986","63","1","2","1.880000","2","3","4","3.870000","4","5","8","7.650000","8","1","3","2.740000","3","406",
"205","2","205","99.230026","180","0","2","1.830000","2","3","4","3.860000","4","5","8","7.730000","8","1","3","2.800000","3","408",
"206","3","205","98.270004","177","1","2","1.890001","2","2","4","3.829999","4","3","8","7.629999","8","1","3","2.750000","3","410",
"207","6","207","101.870026","48","1","2","1.950000","2","3","4","3.920000","4","2","8","7.590000","7","1","3","2.759999","3","412",
"208","8","204","104.739998","37","1","2","1.910000","2","3","4","3.900000","3","4","8","7.670000","8","1","3","2.660000","3","414",
"209","3","209","105.300018","107","1","2","1.870000","1","3","4","3.950001","4","5","8","7.740002","7","1","3","2.780000","1","416",
"210","5","204","111.070015","133","1","2","1.900000","2","3","4","3.870000","4","4","8","7.670001","8","1","3","2.710000","1","418",
"211","3","211","100.229996","200","1","2","1.940000","2","3","4","3.880000","4","5","8","7.699999","8","1","3","2.660000","3","420",
"212","3","211","104.640007","157","1","2","1.890000","2","3","4","3.900000","4","6","8","7.789998","8","1","3","2.730000","3","422",
"213","3","212","111.839973","44","1","2","1.860000","2","3","4","3.900000","4","6","8","7.690002","8","1","3","2.780000","3","424",
